name,price,url,rating,rating_number,page,keyword,source,execution_date,scraper_type
N/A,"6.198,",https://aax-us-iad.amazon.com/x/c/JIRJzJxFTmY419NYDpsWKjgAAAGRKJkQgwEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICCfQDg3/https://www.amazon.com.br/gp/aw/d/B0942NDQKL/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=b1b3e47ce41aea20fe687116120c7322&hsa_cr_id=1184661840001&qid=1722963005&sr=1-1-9e67e56a-6f64-441f-a281-df67fc737124&ref_=sbx_be_s_sparkle_lsi4d_asin_0_bkgd&pd_rd_w=4An36&content-id=amzn1.sym.0af9561b-236a-4456-ac39-e3caccb7758c%3Aamzn1.sym.0af9561b-236a-4456-ac39-e3caccb7758c&pf_rd_p=0af9561b-236a-4456-ac39-e3caccb7758c&pf_rd_r=B32T0NZMGXGY8DCAHWSP&pd_rd_wg=vmQoa&pd_rd_r=87cc26fe-bc76-4072-80bf-ad66bf280816,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
N/A,"8.588,",https://aax-us-iad.amazon.com/x/c/JIRJzJxFTmY419NYDpsWKjgAAAGRKJkQgwEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICCfQDg3/https://www.amazon.com.br/gp/aw/d/B0B3CCPTK5/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=b1b3e47ce41aea20fe687116120c7322&hsa_cr_id=1184661840001&qid=1722963005&sr=1-2-9e67e56a-6f64-441f-a281-df67fc737124&ref_=sbx_be_s_sparkle_lsi4d_asin_1_bkgd&pd_rd_w=4An36&content-id=amzn1.sym.0af9561b-236a-4456-ac39-e3caccb7758c%3Aamzn1.sym.0af9561b-236a-4456-ac39-e3caccb7758c&pf_rd_p=0af9561b-236a-4456-ac39-e3caccb7758c&pf_rd_r=B32T0NZMGXGY8DCAHWSP&pd_rd_wg=vmQoa&pd_rd_r=87cc26fe-bc76-4072-80bf-ad66bf280816,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
N/A,"11.799,",https://aax-us-iad.amazon.com/x/c/JIRJzJxFTmY419NYDpsWKjgAAAGRKJkQgwEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICCfQDg3/https://www.amazon.com.br/gp/aw/d/B0CX5GDLNL/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=b1b3e47ce41aea20fe687116120c7322&hsa_cr_id=1184661840001&qid=1722963005&sr=1-3-9e67e56a-6f64-441f-a281-df67fc737124&ref_=sbx_be_s_sparkle_lsi4d_asin_2_bkgd&pd_rd_w=4An36&content-id=amzn1.sym.0af9561b-236a-4456-ac39-e3caccb7758c%3Aamzn1.sym.0af9561b-236a-4456-ac39-e3caccb7758c&pf_rd_p=0af9561b-236a-4456-ac39-e3caccb7758c&pf_rd_r=B32T0NZMGXGY8DCAHWSP&pd_rd_wg=vmQoa&pd_rd_r=87cc26fe-bc76-4072-80bf-ad66bf280816,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
Consulte as páginas dos produtos para ver outras opções de compra.,N/A,,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Apple notebook MacBook Air (de 13 polegadas, Processador M1 da Apple com CPU 8‑core e GPU 7‑core, 8 GB RAM, 256 GB) - Cinza espacial","5.888,",/MacBook-polegadas-Processador-8%E2%80%91core-7%E2%80%91core/dp/B0942NDQKL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-1&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"4,7 de 5 estrelas",1.692,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Apple notebook MacBook Air de 13 polegadas: Chip M2 da Apple com CPU de oito núcleos e GPU de oito núcleos, de 256 GB SSD - Cinza espacial","7.299,",/Notebook-Apple-MacBook-13-polegadas-Cinza-espacial/dp/B0B3CCPTK5/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-2&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"4,8 de 5 estrelas",339,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Apple 2024 MacBook Air (de 13 polegadas, Chip M3 da Apple com CPU de oito núcleos e GPU de oito núcleos, 8GB Memória unificada, de 256 GB) - Cinza-espacial","11.799,",/Apple-MacBook-polegadas-n%C3%BAcleos-unificada/dp/B0CX5GDLNL/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-3&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e,"5,0 de 5 estrelas",5,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"MacBook Pro (2023). O notebook da Apple com chip M3 Pro,CPU de 12-core e GPU de 18-core:Tela Liquid Retina XDR de 16,2 pol,36GB memória unificada e SSD 512GB. Funciona com o iPhone/iPad.Preto-espacial","23.899,",/MacBook-notebook-Apple-12-core-18-core/dp/B0CM7394BL/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-4&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"3,9 de 5 estrelas",3,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"MacBook Pro (2023). O notebook da Apple com chip M3. CPU de 8-core e GPU de 10-core: Tela Liquid Retina XDR de 14,2 pol, 8GB memória unificada e SSD 512GB. Funciona com o iPhone/iPad. Cinza-espacial","11.799,",/MacBook-notebook-Apple-8-core-10-core/dp/B0CM75VK8L/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-5&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"5,0 de 5 estrelas",3,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Apple notebook MacBook Pro (de 16 polegadas, Processador M1 Pro da Apple com CPU 10‑core e GPU 16‑core, 16 GB RAM, 512 GB SSD) - Prateado","12.999,",/Apple-MacBook-16-polegadas-Processador-GPU-16%E2%80%91core/dp/B09L5BKB6B/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-6&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e,"4,9 de 5 estrelas",22,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"MacBook Pro (2023). O notebook da Apple chip M3 Pro, CPU de 11-core e GPU de 14-core: Tela Liquid Retina XDR de 14,2 pol, 18GB memória unificada e SSD 512GB. Funciona com o iPhone/iPad. Preto-espacial","16.499,",/MacBook-notebook-Apple-11-core-14-core/dp/B0CM7DZM2X/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-7&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Notebook MacBook Air (2023) Apple com chip M2: tela Liquid Retina de 15,3 polegadas, 8GB GB de RAM, SSD de de 256 GB GB, teclado retroiluminado, câmera FaceTime HD de 1080p e Touch ID. Cinza-Escuro.",N/A,/Notebook-MacBook-Apple-chip-retroiluminado/dp/B0C765SKCG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-8,"4,2 de 5 estrelas",12,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Apple notebook MacBook Pro de 13 polegadas: Chip M2 da Apple com CPU de oito núcleos e GPU de dez núcleos, de 256 GB SSD - Prateado",N/A,/Notebook-Apple-MacBook-Pro-13-polegadas/dp/B0B3BZH3NX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-9,"4,8 de 5 estrelas",143,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Apple notebook MacBook Pro (de 16 polegadas, Processador M1 Max da Apple com CPU 10‑core e GPU 32‑core, 32 GB RAM, 1 TB SSD) - Cinza espacial","16.999,",/Apple-MacBook-16-polegadas-Maxcessador-GPU-32%E2%80%91core/dp/B09L5BW9WV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-10&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e,"5,0 de 5 estrelas",4,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
2010 Macbook,N/A,/2010-Macbook/dp/B0C2H3HGR8/ref=sr_1_11?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-11,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
Macbook Pro Teardown,N/A,/dp/B0DCBFVWN5/ref=sr_1_12?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-12,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Galaxy Book2 Intel® Core™ i5-1235U, Windows 11 Home, 8GB, 256GB SSD, Intel Iris Xe, 15.6'' Full HD LED, 1.81kg*.","3.171,",/Notebook-Samsung-i5-1235U-Windows-Grafite/dp/B0C5YT4KQZ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-13&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,"4,7 de 5 estrelas",655,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Adaptador USB-C para HDMI 4K, USB 3.0 e Carga PD - Compatibilidade com MacBook, Thunderbolt 3 e DEX Android - Eleva Sua Experiência Multimídia e Oferece Carga Rápida-Vende Mais","59,",/Adaptador-USB-C-para-HDMI-Carga/dp/B0D2CPKQ4X/ref=sr_1_14?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-14,"4,4 de 5 estrelas",15,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Notebook Positivo Duo 2 em1 Intel Celeron 4GB 128GB, Tela 11,6"" IPS HD, Windows11, Cinza - C4128B-3","1.349,",/Notebook-Positivo-Celeron-C4128B-3-Windows11/dp/B0BZ8Y9QV9/ref=sr_1_15?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-15&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,"4,5 de 5 estrelas",265,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Galaxy Book2 Intel® Core™ i3-1215U, Windows 11 Home, 4GB, 256GB SSD, 15.6'' Full HD LED, 1.81kg*.","2.419,",/Galaxy-Intel%C2%AE-CoreTM-i3-1215U-Windows/dp/B0CB6XBMPV/ref=sr_1_16?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,"4,7 de 5 estrelas",136,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
